Agency,Route,ATISRoute,RouteDescription,RouteNumber
MT,210,M210,Issaquah-Seattle,210
MT,211,M211,Eastgate-First Hill,211
MT,212,M212,Eastgate Park & Ride-Seattle,212
MT,213,M213,Covenant Shores-Mercer Island,213
MT,214,M214,Issaquah P&R-Downtown Seattle,214
MT,215,M215,North Bend-Downtown Seattle,215
MT,216,M216,Sammamish-Downtown Seattle,216
MT,217,M217,Downtown Seattle-Issaquah,217
MT,218,M218,Issaquah Highlands-Downtown Sea.,218
MT,219,M219,Newport Hills-Factoria,219
MT,221,M221,Education Hill-Eastgate,221
MT,222,M222,Bellevue-Eastgate,222
MT,224,M224,Fall City-Redmond,224
MT,225,M225,Overlake-Downtown Seattle,225
MT,226,M226,Overlake-Crossroads Seattle,226
MT,229,M229,Overlake-Downtown Seattle,229
MT,230,M230,Kingsgate-Redmond,230
MT,232,M232,Duvall-Bellevue,232
MT,233,M233,Bear Creek-Bellevue,233
MT,234,M234,Kenmore-Bellevue,234
MT,235,M235,Bellevue-Kingsgate,235
MT,236,M236,Woodinville-Kirkland,236
MT,237,M237,Woodinville-Bellevue,237
MT,238,M238,UW Bothell/Cascadia CC-Kirkland,238
MT,240,M240,Clyde Hill-Renton,240
MT,241,M241,Bellevue-Eastgate,241
MT,242,M242,North City-Overlake,242
MT,243,M243,Jackson Park-Bellevue,243
MT,244,M244,Kenmore-Overlake,244
MT,245,M245,Kirkland-Factoria,245
MT,246,M246,"Bellevue-Somerset, Factoria",246
MT,247,M247,Overlake-Kent,247
MT,248,M248,Avondale-Redmond-Kirkland,248
MT,249,M249,Overlake-Bellevue,249
MT,250,M250,Redmond-Downtown Seattle,250
MT,251,M251,UW Bothell/Cascadia CC-Redmond,251
MT,252,M252,Kingsgate-Downtown Seattle,252
MT,253,M253,Bear Creek-Bellevue,253
MT,255,M255,Brickyard-Downtown Seattle,255
MT,256,M256,Downtown Seattle-Overlake,256
MT,257,M257,Brickyard-Downtown Seattle,257
MT,260,M260,Finn Hill-Downtown Seattle,260
MT,261,M261,Overlake-Downtown Seattle,261
MT,265,M265,Redmond-First Hill,265
MT,266,M266,Redmond-Downtown Seattle,266
MT,268,M268,Bear Creek P&R-Downtown Seattle,268
MT,269,M269,Issaquah-Overlake,269
MT,271,M271,Issaquah-University District,271
MT,272,M272,Eastgate-University District,272
MT,277,M277,Juanita-University District,277
MT,280,M280,East & South County-Downtown Seattle,280
MT,301,M301,Aurora Village-Downtown Seattle,301
MT,303,M303,Shoreline-Northgate-First Hill,303
MT,304,M304,Richmond Beach-Downtown Seattle,304
MT,306,M306,Kenmore-Downtown Seattle,306
MT,308,M308,Horizon View-Downtown Seattle,308
MT,309,M309,First Hill-Kenmore,309
MT,311,M311,Duvall-Downtown Seattle,311
MT,312,M312,Bothell-Seattle,312
MT,316,M316,Meridian Park-Downtown Seattle,316
MT,330,M330,Shoreline CC-Lake City,330
MT,331,M331,Kenmore-Shoreline CC,331
MT,342,M342,Shoreline-Renton,342
MT,345,M345,Shoreline CC-Northgate,345
MT,346,M346,Aurora Village-Northgate,346
MT,347,M347,Mountlake Terrace-Northgate,347
MT,348,M348,Richmond Beach-Northgate,348
MT,355,M355,Shoreline CC-Downtown Seattle,355
MT,358,M358,Aurora Village-Downtown Seattle,358
MT,372,M372,Woodinville-University District,372
MT,373,M373,Shoreline-University District,373
MT,600,M600,Group Health Express Downtown Seattle-Tukwila,600
MT,773,M773,Seacrest Park-W. Seattle Junction,773
MT,775,M775,Seacrest Park-Admiral District,775
MT,821,M821,Newcastle-Newport High School,821
MT,822,M822,Newcastle-Newport High School,822
MT,823,M823,Newport High School-International School,823
MT,824,M824,Newcastle-Newport High School,824
MT,885,M885,Bellevue High School-International School,885
MT,886,M886,Clyde Hill-Bellevue High School,886
MT,888,M888,Interlake High School-International School,888
MT,889,M889,International School-Cherry Crest ,889
MT,890,M890,International School-Eastgate,890
MT,891,M891,Mercer Island High School,891
MT,892,M892,Mercer Island High School,892
MT,893,M893,Lake Washington High School,893
MT,901,M901,Mirror Lake-Federal Way,901
MT,903,M903,Northshore-Federal Way,903
MT,908,M908,Renton-Renton Highlands,908
MT,909,M909,Kennydale-Renton,909
MT,910,M910,North Auburn-SuperMall,910
MT,912,M912,Enumclaw-Covington,912
MT,913,M913,Riverview-Kent,913
MT,914,M914,Downtown Kent-Kent East Hill,914
MT,916,M916,Downtown Kent-Kent East Hill,916
MT,917,M917,Pacific-Algona-Auburn,917
MT,918,M918,Kent-North Kent Industrial,918
MT,919,M919,Southeast Auburn-Auburn Park & Ride,919
